"Uncategorized","Detect unnecessary code","Shift+Alt+U","In Windows"
"Text Editing","Copy Rectangle To Register","Ctrl+X R R","Editing Text"
"Text Editing","End Buffer","Esc Shift+.","Editing Text"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Text Editing","Switch to Buffer","Ctrl+X B","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Exchange Point and Mark","Ctrl+X Ctrl+X","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Uncategorized","Insert left guillemet","Ctrl+<","Editing Xtend Source"
"Text Editing","Universal Argument","Ctrl+6","Editing Text"
"Text Editing","To Upper Case","Shift+Ctrl+X","Embedded Xtext Editor context"
"Text Editing","Universal Argument","Alt+6","Editing Text"
"Uncategorized","Left Guillemet","<","NLS Editor Context"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Embedded Xtext Editor context"
"Text Editing","Query Replace","Alt+%","Editing Text"
"Text Editing","Text Start","Alt+<","Editing Text"
"Run/Debug","Coverage Eclipse Application","Shift+Alt+E E","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"File","Print","Esc F9","In Windows"
"Edit","Forward Sexp","Esc Alt+Right","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Text Editing","Page Up","Alt+V","Editing Text"
"Text Editing","Begin Buffer","Alt+<","Editing Text"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","Universal Argument","Ctrl+4","Editing Text"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","End Line","End","Editing Text"
"Text Editing","Text Start","Alt+<","Embedded Xtext Editor context"
"Edit","Forward Sexp","Alt+Right","Editing Text"
"Text Editing","Number to Register","Ctrl+X R N","Editing Text"
"Text Editing","Capitalize","Alt+C","Editing Text"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Embedded Xtext Editor context"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Run/Debug","Resume","Ctrl+X Ctrl+A Ctrl+R","Debugging"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Text"
"Text Editing","Universal Argument","Ctrl+5","Editing Text"
"Text Editing","Universal Argument","Alt+2","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Text Editing","Recenter Top Bottom","Ctrl+L","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Embedded Xtext Editor context"
"Source","Add Block Comment","Ctrl+X ;","Editing Java Source"
"Uncategorized","Extract Method","Shift+Alt+M","Editing Xtext Source"
"Text Editing","Next Line","Ctrl+N","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Page Up","Esc V","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Editing","Go to Matching Bracket","Shift+Ctrl+P","Editing Xtext Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Toggle Comment","Alt+;","Editing in Structured Text Editors"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Text Editing","Undo+","Ctrl+/","Editing Text"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Forward Character","Shift+Ctrl+F","Editing Text"
"Text Editing","Backward Up List","Ctrl+Alt+U","Editing Text"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Edit","Backward Sexp","Ctrl+Alt+B","Editing Text"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Run/Debug","Coverage Scala Application","Shift+Alt+E L","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Text Editing","Delete Indentation","Shift+Alt+6","Editing Text"
"Text Editing","Copy to Register","Ctrl+X R S","Editing Text"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Zap to Char","Esc Z","In Windows"
"Text Editing","Next Line","Shift+Down","Editing Text"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Text Editing","Previous Line","Ctrl+P","Editing Text"
"Edit","Incremental Find","Ctrl+J","Embedded Xtext Editor context"
"Text Editing","Forward Character","Ctrl+F","Editing Text"
"Edit","Toggle Comment","Ctrl+X Ctrl+;","Editing in Structured Text Editors"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+8","Editing Text"
"Text Editing","Next Word","Alt+F","Editing Text"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Window","Next View","Shift+Ctrl+Alt+L","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Next Word","Esc F","Embedded Xtext Editor context"
"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Text Editing","Jump to Register","Ctrl+X J","Editing Text"
"Text Editing","Kbd Macro Bind To Key","Ctrl+X Ctrl+K B","Editing Text"
"Text Editing","Count Lines Region","Alt+=","Editing Text"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Universal Argument","Ctrl+9","Editing Text"
"Run/Debug","Toggle Breakpoint","Ctrl+X Ctrl+A Space","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Content Assist","Alt+Enter","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Backward Paragraph","Ctrl+Up","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Text Editing","Scroll Line Up","Alt+Z","Embedded Xtext Editor context"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Text Editing","Search in Project","Alt+S","Editing Text"
"Navigate","Backward History","Ctrl+X Left","In Windows"
"Text Editing","Join Other Windows","Ctrl+X 1","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Text Editing","Describe Key","Ctrl+H K","Editing Text"
"Text Editing","End Line","Ctrl+E","Editing Text"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","End Buffer","Esc >","Editing Text"
"Text Editing","Universal Argument","Ctrl+-","Editing Text"
"Text Editing","Open Rectangle","Ctrl+X R O","Editing Text"
"Editing","Select Next Element","Shift+Alt+Right","Editing Xtext Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Text Editing","Scroll Down","Esc V","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Split Window Vertically","Ctrl+X 2","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"gazonk.del","Copy","Esc W","In Console View"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Open Declaration","F3","Editing Xtext Source"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Run/Debug","Step Return","Ctrl+X Ctrl+A Ctrl+F","Debugging"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Transpose Sexps","Ctrl+Alt+T","Editing Text"
"Edit","Remove Block Comment","Ctrl+X Shift+;","Editing in Structured Text Editors"
"Editing","Select Previous Element","Shift+Alt+Left","Editing Xtext Source"
"Run/Debug","Coverage RAP JUnit Test","Shift+Alt+E R","In Windows"
"Text Editing","Universal Argument","Ctrl+7","Editing Text"
"Text Editing","Universal Argument","Ctrl+1","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Undo","F9","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Refactoring","Rename Element","Shift+Alt+R","Editing Xtext Source"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Execute Extended Command","Alt+X","Editing Text"
"Text Editing","Delete Blank Lines","Ctrl+X Ctrl+O","Editing Text"
"Text Editing","Universal Argument","Alt+9","Editing Text"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Edit","Backward Sexp","Shift+Ctrl+Alt+B","Editing Text"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Navigate","Forward History","Ctrl+X Ctrl+Right","In Windows"
"Edit","Forward Sexp","Esc Ctrl+Right","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Text Editing","Begin Buffer","Shift+Alt+,","Editing Text"
"Text Editing","Delete Line","Shift+Ctrl+Backspace","Embedded Xtext Editor context"
"Search","Open Search Dialog","Ctrl+H S","In Windows"
"Navigate","Quick Outline","Ctrl+]","Editing Java Source"
"Text Editing","Backward Word","Ctrl+Left","Editing Text"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Count Lines Buffer","Ctrl+X L","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Text Editing","Kill Rectangle","Ctrl+X R K","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Toggle Allow Edit","Ctrl+X Ctrl+Q","Editing Text"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Split Line","Ctrl+Alt+O","Editing Text"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Text End","Esc Shift+>","Embedded Xtext Editor context"
"Text Editing","Apply Macro To Region Lines","Ctrl+X Ctrl+K R","Editing Text"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Eval Expression","Shift+Alt+;","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Add Block Comment","Ctrl+X ;","Editing in Structured Text Editors"
"Source","Toggle Comment","Alt+;","Editing Java Source"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Run/Debug","Step Into","Ctrl+X Ctrl+A Ctrl+S","Debugging"
"Text Editing","Uppercase","Alt+U","Editing Text"
"Text Editing","Kbd Macro Cycle Ring Previous","Ctrl+X Ctrl+K Ctrl+P","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Text Editing","Repeat","Ctrl+X Z","Editing Text"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Text Editing","Cut to End of Line","Ctrl+K","Embedded Xtext Editor context"
"Text Editing","Point to Register","Ctrl+X /","Editing Text"
"Text Editing","What Cursor Position","Ctrl+X =","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Uncategorized","Organize Imports","Shift+Ctrl+O","Editing Xtext Source"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Text Editing","Scroll Down","Esc Shift+V","Editing Text"
"Edit","Undo","Ctrl+/","In Windows"
"Edit","Context Information","Alt+?","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Embedded Xtext Editor context"
"Window","Next View","Ctrl+F7","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+1","Editing Text"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Text Editing","Delete Line","Shift+Ctrl+Backspace","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Switch to Buffer Other Frame","Ctrl+X 5 B","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"File","Print","Alt+F9","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Text End","Alt+>","Editing Text"
"Text Editing","Query Replace","Shift+Alt+5","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Text Editing","Begin Buffer","Esc Shift+,","Editing Text"
"Edit","Incremental Find Reverse","Ctrl+R","Embedded Xtext Editor context"
"Edit","Word Completion","Alt+/","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+-","Editing Text"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Text Editing","Backward Character","Left","Editing Text"
"Text Editing","Delete Indentation","Alt+^","Editing Text"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Text Editing","Kbd Macro End or Call","F4","Editing Text"
"Text Editing","Back To Indent","Alt+M","Editing Text"
"Text Editing","Paste Java Code","Shift+Ctrl+V","Editing Xtend Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Universal Argument","Ctrl+Alt+5","Editing Text"
"Text Editing","Previous Line","Shift+Ctrl+P","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Text Editing","Page Down","Ctrl+V","Embedded Xtext Editor context"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context"
"Text Editing","Mark Paragraph","Alt+H","Editing Text"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","Editing Xtend Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Uncategorized","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Text Editing","Forward Word","Alt+F","Editing Text"
"Text Editing","Text Start","Esc <","Embedded Xtext Editor context"
"Run/Debug","Run to Line","Ctrl+X Ctrl+A Ctrl+U","Debugging"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Text Editing","Comment Next","Alt+N","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Embedded Xtext Editor context"
"Run/Debug","Debug","F11","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Source","Toggle Comment","Esc ;","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Run/Debug","Step Over","Ctrl+X Ctrl+A Ctrl+N","Debugging"
"Text Editing","Universal Argument","Ctrl+Alt+9","Editing Text"
"Text Editing","Scroll Up","Shift+Ctrl+V","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Text Editing","Comment Previous","Alt+P","Editing Java Source"
"Text Editing","Universal Argument","Ctrl+U","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Edit","Kill Sexp","Ctrl+Alt+K","Editing Text"
"Text Editing","Universal Argument","Alt+5","Editing Text"
"gazonk.del","Delete Previous Word","Alt+Backspace","In Console View"
"Text Editing","Narrow To Region","Ctrl+X N N","Editing Text"
"Editing","Select Enclosing Element","Shift+Alt+Up","Editing Xtext Source"
"Run/Debug","Coverage SWTBot Test","Shift+Alt+E S","In Windows"
"Navigate","Find References","Shift+Ctrl+G","Editing Xtext Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Text Editing","Text End","Esc >","Editing Text"
"Text Editing","Backward Paragraph","Shift+Alt+[","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Text Editing","Line Up","Ctrl+P","Embedded Xtext Editor context"
"Text Editing","Yank Pop","Alt+Y","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Open from Clipboard","Shift+Ctrl+V","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Text Editing","Recenter","Ctrl+L","Embedded Xtext Editor context"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Uncategorized","Insert left guillemet","<","Editing Xtend Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"gazonk.del","Delete Next Word","Esc D","In Console View"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Text Editing","Mark Whole Buffer","Ctrl+X H","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Embedded Xtext Editor context"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Reposition Window","Ctrl+Alt+L","In Windows"
"Text Editing","Text Start","Shift+Alt+<","Embedded Xtext Editor context"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Edit","Find and Replace","Alt+R","In Windows"
"Text Editing","Lowercase","Alt+L","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Text Editing","Regexp I-Search backward","Ctrl+Alt+R","Editing Text"
"Run/Debug","Coverage TestNG Test","Shift+Alt+E N","In Windows"
"Text Editing","Insert Register","Ctrl+X R G","Editing Text"
"Text Editing","Universal Argument","Alt+4","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Text Editing","Delete Next Word","Alt+D","Embedded Xtext Editor context"
"Text Editing","Insert Line Above Current Line","Ctrl+O","Editing Text"
"Text Editing","Text Start","Ctrl+X [","Embedded Xtext Editor context"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","Indent For Comment","Ctrl+;","Editing Java Source"
"Text Editing","Clear Mark","Ctrl+G","Embedded Xtext Editor context"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Text Editing","Rotate Yank Pointer","Ctrl+Alt+Y","Editing Text"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Quick Hierarchy","Ctrl+[","Editing Java Source"
"Text Editing","Begin Line","Ctrl+A","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Text Editing","Switch to Buffer Other Window","Ctrl+X 4 B","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Mark Word","Alt+@","Editing Text"
"Text Editing","Forward Paragraph","Shift+Alt+]","Editing Text"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Text Editing","End Buffer","Ctrl+End","Editing Text"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Text Editing","Down List","Ctrl+Alt+D","Editing Text"
"Text Editing","Page Up","Alt+V","Embedded Xtext Editor context"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Edit","Delete","Delete","In Windows"
"Text Editing","Join Other Frames","Ctrl+X 5 1","Editing Text"
"Text Editing","End Line","Shift+End","Editing Text"
"Text Editing","Mark Word","Shift+Alt+2","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Kbd Macro Start","Ctrl+X (","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
"Text Editing","Next Line","Shift+Ctrl+N","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Edit","Redo","F10","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Edit","Backward Sexp","Esc Alt+Left","Editing Text"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"View","Zoom In","Ctrl+=","In Windows"
"Text Editing","View Kbd Macro","Ctrl+X Ctrl+K Ctrl+E","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+7","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Embedded Xtext Editor context"
"Text Editing","Backward Paragraph","Alt+{","Editing Text"
"Text Editing","Text End","Ctrl+X ]","Embedded Xtext Editor context"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Source","Toggle Comment","Esc ;","PDE editor"
"Source","Remove Block Comment","Ctrl+X Shift+;","Editing Java Source"
"Text Editing","Append Next Kill","Ctrl+Alt+W","Editing Text"
"Text Editing","Page Up","Esc V","Embedded Xtext Editor context"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","Editing Xtend Source"
"Text Editing","Line End","Ctrl+E","Embedded Xtext Editor context"
"Text Editing","Kbd Macro Call","Ctrl+X E","Editing Text"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Edit","Forward Sexp","Shift+Ctrl+Alt+F","Editing Text"
"Text Editing","Delete Horizontal Space","Alt+\","Editing Text"
"Text Editing","Scroll Up","Ctrl+V","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Forward Paragraph","Shift+Ctrl+Down","Editing Text"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Query Replace Regexp","Ctrl+Alt+%","Editing Text"
"Text Editing","Scroll Line Up","Esc Z","Embedded Xtext Editor context"
"Text Editing","End Line","Shift+Ctrl+E","Editing Text"
"File","Close All","Shift+Ctrl+W","In Windows"
"Source","Toggle Comment","Ctrl+X Ctrl+;","Editing Properties Files"
"Text Editing","Scroll Other Window Down","Alt+PageUp","Editing Text"
"Text Editing","Kbd Macro End","Ctrl+X )","Editing Text"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Window","Show Ruler Context Menu","Ctrl+F10","Embedded Xtext Editor context"
"Text Editing","Universal Argument","Alt+3","Editing Text"
"Uncategorized","Insert right guillemet",">","Editing Xtend Source"
"Navigate","Forward History","Alt+Right","In Windows"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+2","Editing Text"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Run/Debug","Coverage JUnit Test","Shift+Alt+E T","In Windows"
"Text Editing","Begin Line","Home","Editing Text"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Embedded Xtext Editor context"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Text Editing","Previous Word","Esc B","Embedded Xtext Editor context"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Text Editing","Point to Register","Ctrl+X R Space","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
